tstamp	latitude	longitude	direction	speed	trip_id
2020-10-06 00:42:23	45.616877	-122.675762	0	0	169575029
2020-10-06 00:42:28	45.616877	-122.675762	0	0	169575029
2020-10-06 00:42:33	45.616877	-122.675762	0	0	169575029
2020-10-06 00:42:38	45.616877	-122.675762	0	0	169575029
2020-10-06 00:42:43	45.616877	-122.675762	0	0	169575029
2020-10-06 00:42:48	45.616877	-122.675762	0	0	169575029
2020-10-06 00:42:53	45.616877	-122.675762	0	0	169575029
2020-10-06 00:42:58	45.616877	-122.675762	0	0	169575029
2020-10-06 00:43:03	45.616877	-122.675762	0	0	169575029
2020-10-06 00:43:08	45.616877	-122.675762	0	0	169575029
2020-10-06 00:43:13	45.616877	-122.675762	0	0	169575029
2020-10-06 00:43:18	45.616877	-122.675762	0	0	169575029
2020-10-06 00:43:23	45.616877	-122.675762	0	0	169575029
2020-10-06 00:43:28	45.616877	-122.675762	0	0	169575029
2020-10-06 00:43:33	45.616877	-122.675762	0	0	169575029
2020-10-06 00:43:38	45.616877	-122.675762	0	0	169575029
2020-10-06 00:43:43	45.616877	-122.675762	0	0	169575029
2020-10-06 00:43:48	45.616877	-122.675762	0	0	169575029
2020-10-06 00:43:53	45.616877	-122.675762	0	0	169575029
2020-10-06 00:43:58	45.616877	-122.675762	0	0	169575029
2020-10-06 00:44:03	45.616877	-122.675762	0	0	169575029
2020-10-06 00:44:08	45.616877	-122.675762	0	0	169575029
2020-10-06 00:44:13	45.616877	-122.675762	0	0	169575029
2020-10-06 00:44:18	45.616877	-122.675762	0	0	169575029
2020-10-06 00:44:23	45.616877	-122.675762	0	0	169575029
2020-10-06 00:44:28	45.616877	-122.675762	0	0	169575029
2020-10-06 00:44:33	45.616877	-122.675762	0	0	169575029
2020-10-06 00:44:38	45.616877	-122.675762	0	0	169575029
2020-10-06 00:44:43	45.616877	-122.675762	0	0	169575029
2020-10-06 00:44:48	45.616877	-122.675762	0	0	169575029
2020-10-06 00:44:53	45.616877	-122.675762	0	0	169575029
2020-10-06 00:44:58	45.616877	-122.675762	0	0	169575029
2020-10-06 00:45:03	45.616877	-122.675762	0	0	169575029
