tstamp	latitude	longitude	direction	speed	trip_id	trip_id	avg
2020-10-03 21:52:42	45.645247	-122.564283	345	64.87126	169433672	169433672	54.397363364486
2020-10-03 21:52:47	45.646527	-122.564777	345	64.87126	169433672	169433672	54.397363364486
2020-10-03 21:52:52	45.647805	-122.56527	345	64.87126	169433672	169433672	54.397363364486
2020-10-03 21:52:57	45.64908	-122.565757	345	64.87126	169433672	169433672	54.397363364486
2020-10-03 21:53:02	45.650352	-122.566237	345	64.87126	169433672	169433672	54.397363364486
2020-10-03 21:53:07	45.65163	-122.566652	347	62.63432	169433672	169433672	54.397363364486
2020-10-03 21:53:12	45.65286	-122.567195	343	62.63432	169433672	169433672	54.397363364486
2020-10-03 21:53:17	45.654018	-122.567922	336	62.63432	169433672	169433672	54.397363364486
2020-10-03 21:53:22	45.655105	-122.568755	332	60.39738	169433672	169433672	54.397363364486
2020-10-03 21:53:27	45.656115	-122.569662	328	58.16044	169433672	169433672	54.397363364486
2020-10-03 21:53:32	45.657052	-122.570497	328	51.44962	169433672	169433672	54.397363364486
2020-10-03 21:53:37	45.657808	-122.571043	333	40.26492	169433672	169433672	54.397363364486
2020-10-03 21:53:42	45.658452	-122.570875	10	31.31716	169433672	169433672	54.397363364486
2020-10-03 21:53:47	45.658692	-122.570082	67	31.31716	169433672	169433672	54.397363364486
2020-10-03 21:53:52	45.65835	-122.569345	124	31.31716	169433672	169433672	54.397363364486
2020-10-03 21:53:57	45.65768	-122.5694	183	33.5541	169433672	169433672	54.397363364486
2020-10-03 21:54:02	45.6572	-122.570247	231	38.02798	169433672	169433672	54.397363364486
2020-10-03 21:54:07	45.656738	-122.571317	238	42.50186	169433672	169433672	54.397363364486
2020-10-03 21:54:12	45.65633	-122.572558	245	46.97574	169433672	169433672	54.397363364486
2020-10-03 21:54:17	45.65604	-122.573952	253	49.21268	169433672	169433672	54.397363364486
2020-10-03 21:54:22	45.655907	-122.575425	263	51.44962	169433672	169433672	54.397363364486
2020-10-03 21:54:27	45.65592	-122.576922	271	51.44962	169433672	169433672	54.397363364486
2020-10-03 21:54:32	45.656057	-122.578412	277	51.44962	169433672	169433672	54.397363364486
2020-10-03 21:54:37	45.656175	-122.579905	276	51.44962	169433672	169433672	54.397363364486
2020-10-03 21:54:42	45.656155	-122.581408	269	51.44962	169433672	169433672	54.397363364486
2020-10-03 21:54:47	45.655987	-122.582885	261	51.44962	169433672	169433672	54.397363364486
2020-10-03 21:54:52	45.655668	-122.584312	252	51.44962	169433672	169433672	54.397363364486
2020-10-03 21:54:57	45.655208	-122.585655	244	51.44962	169433672	169433672	54.397363364486
2020-10-03 21:55:02	45.65464	-122.58693	237	51.44962	169433672	169433672	54.397363364486
2020-10-03 21:55:07	45.654067	-122.588193	237	51.44962	169433672	169433672	54.397363364486
2020-10-03 21:55:12	45.653478	-122.589483	237	53.68656	169433672	169433672	54.397363364486
2020-10-03 21:55:17	45.65287	-122.590818	237	53.68656	169433672	169433672	54.397363364486
2020-10-03 21:55:22	45.652272	-122.592175	238	53.68656	169433672	169433672	54.397363364486
2020-10-03 21:55:27	45.651678	-122.59351	238	53.68656	169433672	169433672	54.397363364486
2020-10-03 21:55:31	45.651077	-122.59483	237	67.1082	169433672	169433672	54.397363364486
2020-10-03 21:55:36	45.650507	-122.596145	238	53.68656	169433672	169433672	54.397363364486
2020-10-03 21:55:41	45.650043	-122.59749	244	51.44962	169433672	169433672	54.397363364486
2020-10-03 21:55:46	45.649725	-122.598865	252	49.21268	169433672	169433672	54.397363364486
2020-10-03 21:55:51	45.649517	-122.600145	257	42.50186	169433672	169433672	54.397363364486
2020-10-03 21:55:56	45.649167	-122.601038	241	33.5541	169433672	169433672	54.397363364486
2020-10-03 21:56:01	45.648643	-122.601477	210	29.08022	169433672	169433672	54.397363364486
2020-10-03 21:56:06	45.648035	-122.601498	181	29.08022	169433672	169433672	54.397363364486
2020-10-03 21:56:12	45.647352	-122.601308	169	26.84328	169433672	169433672	54.397363364486
2020-10-03 21:56:16	45.646638	-122.601097	168	44.7388	169433672	169433672	54.397363364486
2020-10-03 21:56:21	45.645935	-122.600908	169	33.5541	169433672	169433672	54.397363364486
2020-10-03 21:56:26	45.64539	-122.600837	175	24.60634	169433672	169433672	54.397363364486
2020-10-03 21:56:31	45.645082	-122.60083	179	13.42164	169433672	169433672	54.397363364486
(107 rows)
