tstamp	latitude	longitude	direction	speed	trip_id
2020-10-10 09:17:33	45.589215	-122.54594	337	49.21268	170004942
2020-10-10 09:17:38	45.590103	-122.546493	336	46.97574	170004942
2020-10-10 09:17:43	45.590997	-122.547043	337	46.97574	170004942
2020-10-10 09:17:48	45.591883	-122.547587	337	46.97574	170004942
2020-10-10 09:17:53	45.592777	-122.548098	338	46.97574	170004942
2020-10-10 09:17:58	45.593682	-122.548573	340	46.97574	170004942
2020-10-10 09:18:03	45.594568	-122.548992	342	44.7388	170004942
2020-10-10 09:18:08	45.595463	-122.54937	344	44.7388	170004942
2020-10-10 09:18:13	45.596372	-122.549718	345	44.7388	170004942
2020-10-10 09:18:18	45.597268	-122.550013	347	44.7388	170004942
2020-10-10 09:18:23	45.598215	-122.550287	349	46.97574	170004942
2020-10-10 09:18:28	45.5992	-122.550528	350	49.21268	170004942
2020-10-10 09:18:33	45.600222	-122.550732	352	49.21268	170004942
2020-10-10 09:18:38	45.601222	-122.550893	354	49.21268	170004942
2020-10-10 09:18:42	45.602218	-122.55104	354	60.39738	170004942
2020-10-10 09:18:47	45.603212	-122.551168	355	49.21268	170004942
2020-10-10 09:18:52	45.604085	-122.55125	356	42.50186	170004942
2020-10-10 09:18:57	45.604747	-122.551315	356	31.31716	170004942
2020-10-10 09:19:02	45.605293	-122.55125	5	26.84328	170004942
2020-10-10 09:19:07	45.605618	-122.550673	51	26.84328	170004942
2020-10-10 09:19:12	45.60545	-122.549902	107	29.08022	170004942
2020-10-10 09:19:17	45.604885	-122.549327	145	33.5541	170004942
2020-10-10 09:19:22	45.604105	-122.548927	160	40.26492	170004942
2020-10-10 09:19:27	45.603278	-122.548602	165	42.50186	170004942
2020-10-10 09:19:34	45.60256	-122.54802	150	29.08022	170004942
2020-10-10 09:19:39	45.602177	-122.547013	119	40.26492	170004942
2020-10-10 09:19:44	45.60208	-122.545733	96	44.7388	170004942
2020-10-10 09:19:49	45.601905	-122.544285	100	51.44962	170004942
2020-10-10 09:19:54	45.601593	-122.542772	106	53.68656	170004942
2020-10-10 09:19:59	45.601253	-122.541252	108	53.68656	170004942
2020-10-10 09:20:04	45.600915	-122.539697	107	55.9235	170004942
2020-10-10 09:20:09	45.600538	-122.538117	109	55.9235	170004942
2020-10-10 09:20:14	45.600152	-122.536503	109	58.16044	170004942
2020-10-10 09:20:19	45.599763	-122.534868	109	58.16044	170004942
2020-10-10 09:20:24	45.599377	-122.533253	109	58.16044	170004942
2020-10-10 09:20:29	45.599005	-122.531693	109	55.9235	170004942
2020-10-10 09:20:34	45.598667	-122.530275	109	49.21268	170004942
2020-10-10 09:20:39	45.598347	-122.528947	109	49.21268	170004942
2020-10-10 09:20:44	45.598018	-122.527572	109	49.21268	170004942
2020-10-10 09:20:49	45.59769	-122.526173	109	49.21268	170004942
2020-10-10 09:20:54	45.597353	-122.524782	109	49.21268	170004942
2020-10-10 09:20:59	45.596993	-122.523388	110	51.44962	170004942
2020-10-10 09:21:04	45.596617	-122.522033	112	49.21268	170004942
2020-10-10 09:21:09	45.596272	-122.520775	111	44.7388	170004942
2020-10-10 09:21:14	45.595932	-122.519523	111	44.7388	170004942
(124 rows)
