tstamp	latitude	longitude	direction	speed	trip_id	trip_id	max	min	max	min	distance
2020-10-13 17:55:50	45.661058	-122.570053	55	31.31716	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:55:55	45.661332	-122.569427	58	22.3694	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:56:00	45.661507	-122.569027	58	13.42164	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:56:04	45.661553	-122.568927	56	2.23694	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:56:05	45.661553	-122.568927	0	0	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:56:07	45.661553	-122.568927	0	0	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:56:10	45.661578	-122.568875	55	4.47388	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:56:15	45.661735	-122.568565	54	13.42164	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:56:20	45.66202	-122.567993	54	24.60634	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:56:25	45.662377	-122.56727	55	29.08022	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:56:30	45.662717	-122.566553	56	29.08022	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:56:35	45.66301	-122.56593	56	24.60634	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:56:40	45.663255	-122.5654	57	20.13246	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:56:45	45.66344	-122.565015	55	15.65858	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:56:50	45.663663	-122.564487	59	20.13246	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:56:55	45.663903	-122.563863	61	24.60634	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:57:00	45.664158	-122.563212	61	24.60634	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:57:05	45.664422	-122.562543	61	24.60634	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:57:10	45.664632	-122.562027	60	17.89552	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:57:15	45.664715	-122.561837	58	4.47388	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:58:10	45.664813	-122.561608	58	0	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:58:15	45.665052	-122.561052	59	22.3694	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:58:20	45.665317	-122.560328	62	26.84328	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:58:25	45.665565	-122.55951	67	29.08022	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:58:30	45.665783	-122.558607	71	33.5541	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
